BirdID,Date,Age,Sex,Nest,Treatment,LDIP,LBeakHue,LBeakSaturation,LBeakValue,LBeakArea,RDIP,RBeakHue,RBeakSaturation,RBeakValue,RBeakArea,RCheekHue,RCheekSaturation,RCheekValue,RCheekArea,LCheekHue,LCheekSaturation,LCheekValue,LCheekArea,BeakHueAsymmetry,BeakHueAsymmetry1,BeakSaturationAsymmetry,BeakSaturationAsymmetry1,BeakValueAsymmetry,BeakValueAsymmetry1,BeakAreaAsymmetry,BeakAreaAsymmetry1,CheekHueAsymmetry,CheekHueAsymmetry1,CheekSaturationAsymmetry,CheekSaturationAsymmetry1,CheekValueAsymmetry,CheekValueAsymmetry1,CheekAreaAsymmetry,CheekAreaAsymmetry1,ColorWheelHue,ColorWheelSaturation,ColorWheelValue
3932,1/1/2021,45,M,5,C,1243,20,70,60,0.116,1275,16,68,56,0.128,,,,0,,,,0,-4,4,-2,2,-4,4,0.012,0.012,,,,,,,,,,,
3932,1/13/2021,60,M,5,C,1417,16,83,64,0.177,1402,12,73,50,0.231,36,59,52,0.042,36,64,54,0.044,-4,4,-10,10,-14,14,0.054,0.054,0,0,-5,5,-2,2,-0.002,0.002,,,
3932,1/28/2021,75,M,5,C,1406,20,62,78,0.378,1397,14,78,67,0.412,36,63,56,0.425,38,70,58,0.447,-6,6,16,16,-11,11,0.034,0.034,-2,2,-7,7,-2,2,-0.022,0.022,,,
3932,2/12/2021,90,M,5,C,1429,14,72,73,0.379,1429,8,84,62,0.333,32,84,55,0.575,28,88,47,0.48,-6,6,12,12,-11,11,-0.046,0.046,4,4,-4,4,8,8,0.095,0.095,,,
3932,3/14/2021,120,M,5,C,1406,12,77,75,0.244,1406,8,76,68,0.351,32,89,65,0.699,30,90,64,0.686,-4,4,-1,1,-7,7,0.107,0.107,2,2,-1,1,1,1,0.013,0.013,,,
3934,,45,M,5,C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3934,1/15/2021,60,M,5,C,1405,20,61,79,0.418,1415,16,73,69,0.343,40,55,60,0.032,36,72,58,0.053,-4,4,12,12,-10,10,-0.075,0.075,4,4,-17,17,2,2,-0.021,0.021,,,
3934,2/2/2021,75,M,5,C,1378,14,80,77,0.359,1382,183,67,43,0.252,37,69,65,0.435,34,77,57,0.624,169,169,-13,13,-34,34,-0.107,0.107,3,3,-8,8,8,8,-0.189,0.189,,,
3934,2/14/2021,90,M,5,C,1361,13,84,73,0.387,1430,10,78,67,0.299,34,86,63,0.677,32,90,62,0.468,-3,3,-6,6,-6,6,-0.088,0.088,2,2,-4,4,1,1,0.209,0.209,,,
3934,3/16/2021,120,M,5,C,1372,10,61,75,0.185,1389,12,65,81,0.193,30,90,69,0.589,28,91,59,0.487,2,2,4,4,6,6,0.008,0.008,2,2,-1,1,10,10,0.102,0.102,,,
3936,1/4/2021,45,M,6,FR,1480,28,67,74,0.217,1506,24,77,58,0.327,,,,0,,,,0,-4,4,10,10,-16,16,0.11,0.11,,,,,,,,,,,
3936,1/19/2021,60,M,6,FR,1420,25,84,86,0.369,1408,20,84,75,0.361,36,68,65,0.399,36,65,65,0.499,-5,5,0,0,-11,11,-0.008,0.008,0,0,3,3,0,0,-0.1,0.1,,,
3936,2/3/2021,75,M,6,FR,1384,22,83,81,0.393,1390,16,81,71,0.522,36,78,65,0.642,34,85,58,0.591,-6,6,-2,2,-10,10,0.129,0.129,2,2,-7,7,7,7,0.051,0.051,,,
3936,2/18/2021,90,M,6,FR,1368,20,84,80,0.374,1387,20,73,80,0.332,34,81,69,0.449,32,87,61,0.429,0,0,-11,11,0,0,-0.042,0.042,2,2,-6,6,8,8,0.02,0.02,,,
3936,3/20/2021,120,M,6,FR,1396,14,80,77,0.524,1404,10,82,63,0.457,34,87,68,0.82,35,86,68,0.933,-4,4,2,2,-14,14,-0.067,0.067,-1,1,1,1,0,0,-0.113,0.113,,,
3937,1/4/2021,45,M,6,FR,1411,28,77,78,0.466,1423,24,84,69,0.414,,,,0,,,,0,-4,4,7,7,-9,9,-0.052,0.052,,,,,,,,,,,
3937,1/19/2021,60,M,6,FR,1410,22,85,78,0.352,1418,16,75,75,0.534,38,64,70,0.278,34,64,60,0.313,-6,6,-10,10,-3,3,0.182,0.182,4,4,0,0,10,10,-0.035,0.035,,,
3937,2/3/2021,75,M,6,FR,1376,18,74,84,0.489,1386,12,85,65,0.513,33,81,62,0.712,34,80,65,0.51,-6,6,11,11,-19,19,0.024,0.024,-1,1,1,1,-3,3,0.202,0.202,,,
3937,2/18/2021,90,M,6,FR,1364,16,78,79,0.263,1409,10,81,67,0.47,32,88,60,0.719,32,84,63,0.408,-6,6,3,3,-12,12,0.207,0.207,0,0,4,4,-3,3,0.311,0.311,,,
3937,3/20/2021,120,M,6,FR,1390,10,75,78,0.484,1396,6,77,62,0.464,32,90,63,0.575,33,88,65,0.69,-4,4,2,2,-16,16,-0.02,0.02,-1,1,2,2,-2,2,-0.115,0.115,,,
3938,1/5/2021,45,M,6,FR,1448,26,65,66,0.232,1444,20,69,56,0.148,,,,0,,,,0,-6,6,4,4,-10,10,-0.084,0.084,,,,,,,,,,,
3938,1/20/2021,60,M,6,FR,1426,26,86,79,0.373,1425,18,85,66,0.393,38,57,55,0.026,40,50,62,0.043,-8,8,-1,1,-13,13,0.02,0.02,-2,2,7,7,-7,7,-0.017,0.017,,,
3938,2/4/2021,75,M,6,FR,1403,20,82,77,0.309,1413,13,83,66,0.461,36,75,59,0.564,30,77,52,0.178,-7,7,1,1,-11,11,0.152,0.152,6,6,-2,2,7,7,0.386,0.386,,,
3938,2/19/2021,90,M,6,FR,1409,16,84,77,0.47,1408,12,89,73,0.433,36,81,64,0.641,34,80,57,0.872,-4,4,5,5,-4,4,-0.037,0.037,2,2,1,1,7,,-0.231,0.231,,,
3938,3/21/2021,120,M,6,FR,1389,14,86,74,0.348,1377,10,83,64,0.481,36,89,65,0.829,32,90,62,0.617,-4,4,-3,3,-10,10,0.133,0.133,4,4,-1,1,3,3,0.212,0.212,,,
